iso_partner,partner_jurisdiction,2016,2017,2018,2019,2020,2021,2022
AUT,Austria,0.04833156579339764,0.23308128930333807,0.09214326514026855,0.022329231495012793,0.16237286074579194,0.2490402061510058,0.1673044045152156
BEL,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.26184905165578415
BGR,Bulgaria,0.0037304460117062004,0.019723271182428052,0.02452684947226421,0.028030039046650763,0.056257133906103804,0.11092247684079364,0.11977555673323885
CYP,Cyprus,0.0,0.015581582516417412,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,0.12130551612005433,0.2676582912227569,0.14887128285622575,0.1487720217331434,0.351285858589822,0.6151699385289602,0.48840771182073434
DEU,Germany,0.9395532049401584,4.085687100895405,1.4714190287526892,1.1617132863904123,6.314210723987939,5.9795586701620875,4.549049755964169
DNK,Denmark,0.020839222147507018,0.11344318355567243,0.0,1.286511723784496,0.29138205570762216,0.1738297448697434,0.34441431469303585
ESP,Spain,0.6360836131350668,0.39846890082582476,0.08487650512818956,0.2338891960089095,0.6483772649259476,2.050062138559028,1.7655205065459239
EST,Estonia,0.00512327531128523,0.017752846081000848,0.01130452651951571,0.010637139241887654,0.027066060147952854,0.04725884767070424,0.033303667828458366
FIN,Finland,0.0,0.06887795811125923,0.03273888172748595,0.09027726516940676,0.0698332753718908,0.1052556402664638,0.2176395976670127
FRA,France,0.8554019428228529,2.922696372029567,1.5267000921639735,1.1832122257642852,2.656282057014123,4.609245356520043,2.4702578988188
GRC,Greece,0.0,0.0,0.0,0.0,0.010523025245876685,0.09957201193485796,0.1262008290743962
HRV,Croatia,0.0002233737028914123,0.0007915049175315303,0.0,0.0022596404660539,0.008983018857811753,0.01832972805245057,0.006980586429051895
HUN,Hungary,0.0,0.0,0.0530480528492127,0.0,0.0,0.22814205393743744,0.1528777213200792
IRL,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,Italy,0.0,0.0,0.0,0.3618399985557998,0.7511102783511986,1.8641855567583405,1.888127699311592
LTU,Lithuania,0.0023942284262390033,0.0032630552967750507,0.0003111308387679308,0.0,0.0,0.0,0.0
LUX,Luxembourg,0.7920204425440964,0.0,0.0,3.702778276372173,0.06797013275640275,19.965174403132963,2.257817598765557
LVA,Latvia,0.0,0.0035710260087530197,0.006797890303866929,0.0027382221878377495,0.009816337470347396,0.022557080621093996,0.019774710630083358
MLT,Malta,0.0,0.014066869496178969,0.0,0.0,1.4459496249910149,0.0,0.0
NLD,Netherlands,0.0,0.0,0.0,0.0,0.0,2.266177412370723,0.0
POL,Poland,0.28483162391040867,0.507451534937956,0.3753169640497418,0.41617647856191287,1.036280330466305,1.688581262204256,1.4521319426012276
PRT,Portugal,0.10368739302845092,0.09637315474499408,0.13704828399568586,0.09176892896097694,0.2119305505904803,0.390441484127051,0.26935040709825536
ROU,Romania,0.09737277573447883,0.18827330100758363,0.11438883846256885,0.12629649812639693,0.33799853975820643,0.5053654140330742,0.37419043095643345
SVK,Slovak Republic,0.08510333803211322,0.11632870453400442,0.10960049018808476,0.14321790104151433,0.2491106467370032,0.16636829253234764,0.18443263053266984
SVN,Slovenia,0.007766586122960413,0.009862007134353196,0.008020823026243892,0.008093531784693743,0.02525199549915116,0.03142343011235992,0.032318040001245885
SWE,Sweden,0.0,0.2841981260687788,0.27799717612900826,0.0,0.0,3.155040118387703,0.0
